#SampleID	SampleType	Location	Depth
H2D1C1-mcrA-070120	Control	H2	D1
H2D1C2-mcrA-070120	Control	H2	D1
H2D1C3-mcrA-070120	Control	H2	D1
H2D1O3-mcrA-070120	Original	H2	D1
H2D1S1-mcrA-070120	DMS	H2	D1
H2D1S2-mcrA-070120	DMS	H2	D1
H2D1S3-mcrA-070120	DMS	H2	D1
H2D2C1-mcrA-070120	Control	H2	D2
H2D2C2-mcrA-070120	Control	H2	D2
H2D2C3-mcrA-070120	Control	H2	D2
H2D2S1-mcrA-070120	DMS	H2	D2
H2D2S2-mcrA-070120	DMS	H2	D2
H2D2S3-mcrA-070120	DMS	H2	D2
H2D3C1-mcrA-070120	Control	H2	D3
H2D3C2-mcrA-070120	Control	H2	D3
H2D3C3-mcrA-070120	Control	H2	D3
H2D3O1-mcrA-070120	Original	H2	D3
H2D3O2-mcrA-070120	Original	H2	D3
H2D3O3-mcrA-070120	Original	H2	D3
H2D3S1-mcrA-070120	DMS	H2	D3
H2D3S2-mcrA-070120	DMS	H2	D3
H2D3S3-mcrA-070120	DMS	H2	D3
H2D4C1-mcrA-070120	Control	H2	D4
H2D4C2-mcrA-070120	Control	H2	D4
H2D4C3-mcrA-070120	Control	H2	D4
H2D4O1-mcrA-070120	Original	H2	D4
H2D4O2-mcrA-070120	Original	H2	D4
H2D4O3-mcrA-070120	Original	H2	D4
H2D4S1-mcrA-070120	DMS	H2	D4
H2D4S2-mcrA-070120	DMS	H2	D4
H2D4S3-mcrA-070120	DMS	H2	D4
H2D5C1-mcrA-070120	Control	H2	D5
H2D5C2-mcrA-070120	Control	H2	D5
H2D5C3-mcrA-070120	Control	H2	D5
H2D5O1-mcrA-070120	Original	H2	D5
H2D5O2-mcrA-070120	Original	H2	D5
H2D5O3-mcrA-070120	Original	H2	D5
H2D5S1-mcrA-070120	DMS	H2	D5
H2D5S2-mcrA-070120	DMS	H2	D5
H2D5S3-mcrA-070120	DMS	H2	D5
H2D6C1-mcrA-070120	Control	H2	D6
H2D6C2-mcrA-070120	Control	H2	D6
H2D6C3-mcrA-070120	Control	H2	D6
H2D6O1-mcrA-070120	Original	H2	D6
H2D6O2-mcrA-070120	Original	H2	D6
H2D6O3-mcrA-070120	Original	H2	D6
H2D6S1-mcrA-070120	DMS	H2	D6
H2D6S2-mcrA-070120	DMS	H2	D6
H2D6S3-mcrA-070120	DMS	H2	D6
H2D7C1-mcrA-070120	Control	H2	D7
H2D7C2-mcrA-070120	Control	H2	D7
H2D7C3-mcrA-070120	Control	H2	D7
H2D7O1-mcrA-070120	Original	H2	D7
H2D7O2-mcrA-070120	Original	H2	D7
H2D7O3-mcrA-070120	Original	H2	D7
H2D7S1-mcrA-070120	DMS	H2	D7
H2D7S2-mcrA-070120	DMS	H2	D7
H2D7S3-mcrA-070120	DMS	H2	D7
H3D1C1-mcrA-070120	Control	H3	D1
H3D1C2-mcrA-070120	Control	H3	D1
H3D1C3-mcrA-070120	Control	H3	D1
H3D1O2-mcrA-070120	Original	H3	D1
H3D1S1-mcrA-070120	DMS	H3	D1
H3D1S2-mcrA-070120	DMS	H3	D1
H3D1S3-mcrA-070120	DMS	H3	D1
H3D2C1-mcrA-070120	Control	H3	D2
H3D2C2-mcrA-070120	Control	H3	D2
H3D2C3-mcrA-070120	Control	H3	D2
H3D2S1-mcrA-070120	DMS	H3	D2
H3D2S2-mcrA-070120	DMS	H3	D2
H3D2S3-mcrA-070120	DMS	H3	D2
H3D3C1-mcrA-070120	Control	H3	D3
H3D3C3-mcrA-070120	Control	H3	D3
H3D3S1-mcrA-070120	DMS	H3	D3
H3D3S2-mcrA-070120	DMS	H3	D3
H3D3S3-mcrA-070120	DMS	H3	D4
H3D4C1-mcrA-070120	Control	H3	D4
H3D4C3-mcrA-070120	Control	H3	D4
H3D4O1-mcrA-070120	Original	H3	D4
H3D4O2-mcrA-070120	Original	H3	D4
H3D4O3-mcrA-070120	Original	H3	D4
H3D4S1-mcrA-070120	DMS	H3	D4
H3D4S2-mcrA-070120	DMS	H3	D4
H3D4S3-mcrA-070120	DMS	H3	D4
H3D5C1-mcrA-070120	Control	H3	D5
H3D5C2-mcrA-070120	Control	H3	D5
H3D5C3-mcrA-070120	Control	H3	D5
H3D5O1-mcrA-070120	Original	H3	D5
H3D5O2-mcrA-070120	Original	H3	D5
H3D5O3-mcrA-070120	Original	H3	D5
H3D5S1-mcrA-070120	DMS	H3	D5
H3D5S2-mcrA-070120	DMS	H3	D5
H3D5S3-mcrA-070120	DMS	H3	D5
H3D6C1-mcrA-070120	Control	H3	D6
H3D6C2-mcrA-070120	Control	H3	D6
H3D6C3-mcrA-070120	Control	H3	D6
H3D6O1-mcrA-070120	Original	H3	D6
H3D6O2-mcrA-070120	Original	H3	D6
H3D6O3-mcrA-070120	Original	H3	D6
H3D6S1-mcrA-070120	DMS	H3	D6
H3D6S2-mcrA-070120	DMS	H3	D6
H3D6S3-mcrA-070120	DMS	H3	D6
H3D7C1-mcrA-070120	Control	H3	D7
H3D7C2-mcrA-070120	Control	H3	D7
H3D7C3-mcrA-070120	Control	H3	D7
H3D7O1-mcrA-070120	Original	H3	D7
H3D7O2-mcrA-070120	Original	H3	D7
H3D7O3-mcrA-070120	Original	H3	D7
H3D7S1-mcrA-070120	DMS	H3	D7
H3D7S2-mcrA-070120	DMS	H3	D7
H3D7S3-mcrA-070120	DMS	H3	D7
H5D1O1-mcrA-070120	Original	H5	D1
H5D1O2-mcrA-070120	Original	H5	D1
H5D1O3-mcrA-070120	Original	H5	D1
H5D1S1-mcrA-070120	DMS	H5	D1
H5D1S2-mcrA-070120	DMS	H5	D1
H5D2C1-mcrA-070120	Control	H5	D2
H5D2C3-mcrA-070120	Control	H5	D2
H5D2S1-mcrA-070120	DMS	H5	D2
H5D2S2-mcrA-070120	DMS	H5	D2
H5D2S3-mcrA-070120	DMS	H5	D2
H5D3C1-mcrA-070120	Control	H5	D3
H5D3C2-mcrA-070120	Control	H5	D3
H5D3C3-mcrA-070120	Control	H5	D3
H5D3O1-mcrA-070120	Original	H5	D3
H5D3O2-mcrA-070120	Original	H5	D3
H5D3O3-mcrA-070120	Original	H5	D3
H5D3S1-mcrA-070120	DMS	H5	D3
H5D3S2-mcrA-070120	DMS	H5	D3
H5D3S3-mcrA-070120	DMS	H5	D3
H5D4C1-mcrA-070120	Control	H5	D4
H5D4C2-mcrA-070120	Control	H5	D4
H5D4C3-mcrA-070120	Control	H5	D4
H5D4O1-mcrA-070120	Original	H5	D4
H5D4O2-mcrA-070120	Original	H5	D4
H5D4O3-mcrA-070120	Original	H5	D4
H5D4S1-mcrA-070120	DMS	H5	D4
H5D4S2-mcrA-070120	DMS	H5	D4
H5D4S3-mcrA-070120	DMS	H5	D4
H5D5C1-mcrA-070120	Control	H5	D5
H5D5C2-mcrA-070120	Control	H5	D5
H5D5C3-mcrA-070120	Control	H5	D5
H5D5O1-mcrA-070120	Original	H5	D5
H5D5O2-mcrA-070120	Original	H5	D5
H5D5O3-mcrA-070120	Original	H5	D5
H5D5S1-mcrA-070120	DMS	H5	D5
H5D5S2-mcrA-070120	DMS	H5	D5
H5D5S3-mcrA-070120	DMS	H5	D5
H5D6C1-mcrA-070120	Control	H5	D6
H5D6C2-mcrA-070120	Control	H5	D6
H5D6C3-mcrA-070120	Control	H5	D6
H5D6O1-mcrA-070120	Original	H5	D6
H5D6O2-mcrA-070120	Original	H5	D6
H5D6O3-mcrA-070120	Original	H5	D6
H5D6S1-mcrA-070120	DMS	H5	D6
H5D6S2-mcrA-070120	DMS	H5	D6
H5D6S3-mcrA-070120	DMS	H5	D6
H5D7C1-mcrA-070120	Control	H5	D7
H5D7C2-mcrA-070120	Control	H5	D7
H5D7C3-mcrA-070120	Control	H5	D7
H5D7O1-mcrA-070120	Original	H5	D7
H5D7O2-mcrA-070120	Original	H5	D7
H5D7O3-mcrA-070120	Original	H5	D7
H5D7S1-mcrA-070120	DMS	H5	D7
H5D7S2-mcrA-070120	DMS	H5	D7
H5D7S3-mcrA-070120	DMS	H5	D7
Negative3-mcrA-070120			